Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu),Tahun
0-4,"12.107,1","11.622,5","23.729,6",2018
5-9,"12.199,0","11.679,4","23.878,4",2018
10-14,"11.732,1","11.146,6","22.878,7",2018
15-19,"11.378,7","10.864,2","22.242,9",2018
20-24,"11.097,1","10.726,2","21.823,3",2018
25-29,"10.630,7","10.494,6","21.125,3",2018
30-34,"10.270,3","10.258,0","20.528,3",2018
35-39,"10.017,5","10.164,0","20.181,5",2018
40-44,"9.594,1","9.551,3","19.145,4",2018
45-49,"8.718,1","8.657,3","17.375,4",2018
50-54,"7.488,9","7.536,5","15.025,4",2018
55-59,"6.120,9","6.205,7","12.326,6",2018
60-64,"4.688,9","4.663,9","9.352,8",2018
65-69,"3.141,5","3.224,4","6.365,9",2018
70-74,"1.938,9","2.279,7","4.218,6",2018
75+,"2.012,3","2.804,9","4.817,2",2018
Indonesia,"133.136,1","131.879,2","265.015,3",2018
0-4,"12.044,8","11.560,1","23.604,9",2019
5-9,"12.234,2","11.739,7","23.973,8",2019
10-14,"11.824,8","11.232,4","23.057,1",2019
15-19,"11.406,2","10.888,0","22.294,2",2019
20-24,"11.167,6","10.750,0","21.917,6",2019
25-29,"10.690,9","10.537,1","21.228,0",2019
30-34,"10.320,4","10.261,8","20.582,2",2019
35-39,"10.058,2","10.207,6","20.265,8",2019
40-44,"9.679,1","9.687,6","19.366,7",2019
45-49,"8.876,6","8.817,8","17.694,3",2019
50-54,"7.699,2","7.739,0","15.438,1",2019
55-59,"6.314,8","6.435,0","12.749,8",2019
60-64,"4.895,1","4.923,1","9.818,2",2019
65-69,"3.337,5","3.394,3","6.731,8",2019
70-74,"2.027,6","2.357,3","4.384,9",2019
75+,"2.080,7","2.886,4","4.967,0",2019
Indonesia,"134.657,6","133.416,9","268.074,6",2019
0-4,"11.293,7","10.778,8","22.072,5",2020
5-9,"11.295,3","10.799,0","22.094,4",2020
10-14,"11.449,8","10.746,1","22.195,9",2020
15-19,"11.495,7","10.816,9","22.312,6",2020
20-24,"11.632,2","11.050,1","22.682,4",2020
25-29,"11.410,8","10.945,2","22.356,0",2020
30-34,"11.109,1","10.795,5","21.904,5",2020
35-39,"10.556,7","10.354,3","20.910,9",2020
40-44,"10.014,6","9.928,5","19.943,1",2020
45-49,"9.025,6","8.996,9","18.022,5",2020
50-54,"7.872,4","7.874,0","15.746,4",2020
55-59,"6.546,3","6.574,5","13.120,9",2020
60-64,"5.091,7","5.117,8","10.209,5",2020
65-69,"3.681,5","3.772,6","7.454,0",2020
70-74,"2.179,1","2.374,9","4.553,9",2020
75+,"2.007,5","2.617,0","4.624,5",2020
Jumlah/Total,"136.661,9","133.542,0","270.203,9",2020
0-4,"11.280,3","10.765,0","22.045,3",2021
5-9,"11.249,9","10.775,2","22.025,1",2021
10-14,"11.392,7","10.723,2","22.115,9",2021
15-19,"11.445,2","10.755,1","22.200,3",2021
20-24,"11.588,1","10.989,2","22.577,3",2021
25-29,"11.434,4","10.947,0","22.381,4",2021
30-34,"11.155,9","10.818,8","21.974,7",2021
35-39,"10.633,6","10.412,6","21.046,2",2021
40-44,"10.109,8","10.009,3","20.119,1",2021
45-49,"9.191,9","9.163,7","18.355,6",2021
50-54,"8.050,2","8.061,0","16.111,2",2021
55-59,"6.740,0","6.791,7","13.531,7",2021
60-64,"5.280,8","5.337,0","10.617,8",2021
65-69,"3.860,6","3.968,0","7.828,5",2021
70-74,"2.345,9","2.546,5","4.892,4",2021
75+,"2.112,0","2.748,1","4.860,1",2021
Jumlah/Total,"137.871,1","134.811,5","272.682,5",2021
0-4,"11.303,5","10.790,9","22.094,4",2022
5-9,"11.242,2","10.771,5","22.013,8",2022
10-14,"11.356,2","10.732,4","22.088,7",2022
15-19,"11.432,9","10.730,6","22.163,5",2022
20-24,"11.553,1","10.937,3","22.490,4",2022
25-29,"11.485,8","10.977,9","22.463,7",2022
30-34,"11.215,4","10.851,4","22.066,8",2022
35-39,"10.743,3","10.504,7","21.248,0",2022
40-44,"10.207,1","10.088,1","20.295,2",2022
45-49,"9.378,5","9.348,8","18.727,2",2022
50-54,"8.240,7","8.259,6","16.500,3",2022
55-59,"6.945,0","7.016,2","13.961,2",2022
60-64,"5.486,0","5.575,6","11.061,5",2022
65-69,"4.035,9","4.163,4","8.199,0",2022
70-74,"2.530,4","2.739,3","5.269,4",2022
75+,"2.232,9","2.897,1","5.130,6",2022
Jumlah/Total,"139.388,9","136.384,8","275.773,8",2022
0-4,"11.499,3","11.012,6","22.511,8",2023
5-9,"11.237,6","10.762,4","22.000,1",2023
10-14,"11.316,5","10.746,7","22.063,2",2023
15-19,"11.419,7","10.714,6","22.134,4",2023
20-24,"11.489,7","10.871,1","22.360,9",2023
25-29,"11.509,1","10.986,4","22.495,6",2023
30-34,"11.243,9","10.845,1","22.089,0",2023
35-39,"10.834,1","10.570,3","21.404,5",2023
40-44,"10.274,3","10.130,8","20.405,2",2023
45-49,"9.544,2","9.514,7","19.058,9",2023
50-54,"8.415,0","8.450,9","16.865,9",2023
55-59,"7.133,3","7.231,3","14.364,6",2023
60-64,"5.676,6","5.813,7","11.490,3",2023
65-69,"4.183,9","4.344,5","8.528,4",2023
70-74,"2.695,1","2.920,6","5.615,8",2023
75+,"2.314,2","2.993,5","5.307,7",2023
Jumlah/Total,"140.786,8","137.909,4","278.696,2",2023
